"Created.Date","Anticipated.Start.Year","Recruiting.Category","State","Student.Stage","App.Application.Status","Lead.Segment.NRCCUA","Lead.Segment.Cappex","Lead.Segment.College.Board","n"
2015-11-10,2017,"NSRIH","In-State","Applicant","Enrolled","","","",4
2015-11-10,2017,"NSRIH","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2015-11-10,2017,"NSRIH","In-State","Inquiry","","","","",1
2015-11-10,2017,"NSROG","Out-State","Inquiry","","","","",3
2015-11-10,2017,"NSROG","Out-State","Lead","","","","",16
2015-11-10,2017,"NSROH","Out-State","Inquiry","","","","",1
2015-11-10,2017,"NSROH","Out-State","Lead","","","","",5
2015-11-10,2017,"P03","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2017,"P03","Out-State","Inquiry","","","","",2
2015-11-10,2017,"P03","Out-State","Lead","","","","",3
2015-11-10,2017,"PSRIH","In-State","Lead","","","","",1
2015-11-10,2017,"PSROG","Out-State","Lead","","","","",5
2015-11-10,2017,"PSROH","Out-State","Inquiry","","","","",1
2015-11-10,2017,"PSROH","Out-State","Lead","","","","",5
2015-11-10,2018,"","In-State","Applicant","Incomplete","","","",1
2015-11-10,2018,"","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2018,"","In-State","Inquiry","","","","",3
2015-11-10,2018,"","Out-State","Inquiry","","","","",35
2015-11-10,2018,"NJRIH","In-State","Applicant","Enrolled","","","",1
2015-11-10,2018,"NSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",2
2015-11-10,2018,"NSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2018,"NSRIG","In-State","Lead","","","","",1
2015-11-10,2018,"NSRIH","In-State","Applicant","Enrolled","","","",2
2015-11-10,2018,"NSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2018,"NSRIH","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2018,"NSRIH","In-State","Inquiry","","","","",4
2015-11-10,2018,"NSRIH","In-State","Lead","","","","",1
2015-11-10,2018,"NSROG","In-State","Applicant","Enrolled","","","",1
2015-11-10,2018,"NSROG","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2018,"NSROG","Out-State","Inquiry","","","","",1
2015-11-10,2018,"NSROH","Out-State","Applicant","Enrolled","","","",1
2015-11-10,2018,"NSROH","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2018,"NSROH","Out-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2018,"P02","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2018,"P03","Out-State","Lead","","","","",1
2015-11-10,2018,"PSROH","Out-State","Lead","","","","",1
2015-11-10,2019,"","In-State","Applicant","USM Graduate Enrolled","","","",1
2015-11-10,2019,"","Out-State","Inquiry","","","","",1
2015-11-10,2019,"NSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2019,"NSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2015-11-10,2019,"NSRIG","In-State","Inquiry","","","","",1
2015-11-10,2019,"NSRIH","In-State","Applicant","Enrolled","","","",2
2015-11-10,2019,"NSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2019,"NSRIH","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2019,"P01","In-State","Applicant","Enrolled","","","",1
2015-11-10,2019,"PJRIG","In-State","Lead","","","","",1
2015-11-10,2019,"PSROH","Out-State","Lead","","","","",4
2015-11-10,2020,"","In-State","Applicant","Enrolled","","","",1
2015-11-10,2020,"","In-State","Inquiry","","","","",1
2015-11-10,2020,"NSRIG","In-State","Applicant","Enrolled","","","",1
2015-11-10,2020,"NSRIH","In-State","Applicant","Admitted (Not Confirmed)","","","",1
2015-11-10,2020,"NSRIH","In-State","Applicant","Enrolled","","","",1
2015-11-10,2020,"NSROH","Out-State","Applicant","Incomplete","","","",1
2015-11-10,2020,"NSROH","Out-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2021,"PJROH","Out-State","Lead","","","","",1
2015-11-10,2026,"NSROG","Out-State","Inquiry","","","","",1
2015-11-10,2026,"NSROH","Out-State","Inquiry","","","","",2
2015-11-10,NA,"","In-State","Inquiry","","","","",8
2016-03-02,0,"P01","In-State","Inquiry","","","","",1
2016-03-02,2016,"","In-State","Applicant","Enrolled","","","",2
2016-03-02,2016,"","In-State","Applicant","Incomplete","","","",1
2016-03-02,2016,"","In-State","Inquiry","","","","",1
2016-03-02,2016,"","Out-State","Applicant","Denied","","","",2
2016-03-02,2016,"","Out-State","Applicant","Withdrawn (Before Decision)","","","",2
2016-03-02,2016,"","Out-State","Inquiry","","","","",3
2016-03-02,2016,"P01","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2016,"P01","In-State","Inquiry","","","","",5
2016-03-02,2016,"P03","Out-State","Inquiry","","","","",2
2016-03-02,2017,"","Out-State","Inquiry","","","","",8
2016-03-02,2017,"NDSRIG","In-State","Applicant","Denied","","","",1
2016-03-02,2017,"NDSRIG","In-State","Applicant","Enrolled","","","",4
2016-03-02,2017,"NDSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"NDSRIG","In-State","Inquiry","","","","",6
2016-03-02,2017,"NDSRIH","In-State","Applicant","Enrolled","","","",1
2016-03-02,2017,"NDSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",3
2016-03-02,2017,"NDSRIH","In-State","Inquiry","","","","",9
2016-03-02,2017,"NDSROG","Out-State","Inquiry","","","","",1
2016-03-02,2017,"NSRIG","In-State","Applicant","Denied","","","",1
2016-03-02,2017,"NSRIG","In-State","Applicant","Enrolled","","","",2
2016-03-02,2017,"NSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",8
2016-03-02,2017,"NSRIG","In-State","Inquiry","","","","",2
2016-03-02,2017,"NSRIG","In-State","Inquiry","Enrolled","","","",1
2016-03-02,2017,"NSRIG","In-State","Lead","Enrolled","","","",1
2016-03-02,2017,"NSRIG","In-State","Lead","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"NSRIH","In-State","Applicant","Enrolled","","","",1
2016-03-02,2017,"NSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",6
2016-03-02,2017,"NSRIH","In-State","Inquiry","Enrolled","","","",1
2016-03-02,2017,"NSRIH","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"NSRIH","In-State","Lead","Enrolled","","","",2
2016-03-02,2017,"NSRIH","In-State","Lead","Withdrawn (After Admitted)","","","",2
2016-03-02,2017,"NSROG","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"NSROG","Out-State","Inquiry","","","","",1
2016-03-02,2017,"P01","In-State","Applicant","Confirmed","","","",1
2016-03-02,2017,"P01","In-State","Applicant","Denied","","","",1
2016-03-02,2017,"P01","In-State","Applicant","Enrolled","","","",139
2016-03-02,2017,"P01","In-State","Applicant","Withdrawn (After Admitted)","","","",257
2016-03-02,2017,"P01","In-State","Applicant","Withdrawn (After Confirmed)","","","",7
2016-03-02,2017,"P01","In-State","Applicant","Withdrawn (Before Decision)","","","",12
2016-03-02,2017,"P01","In-State","Inquiry","","","","",269
2016-03-02,2017,"P01","In-State","Inquiry","Confirmed","","","",1
2016-03-02,2017,"P01","In-State","Inquiry","Denied","","","",1
2016-03-02,2017,"P01","In-State","Inquiry","Enrolled","","","",18
2016-03-02,2017,"P01","In-State","Inquiry","Withdrawn (After Admitted)","","","",28
2016-03-02,2017,"P01","In-State","Inquiry","Withdrawn (After Confirmed)","","","",1
2016-03-02,2017,"P01","In-State","Inquiry","Withdrawn (Before Decision)","","","",2
2016-03-02,2017,"P01","In-State","Lead","","","","",2146
2016-03-02,2017,"P01","In-State","Lead","Denied","","","",1
2016-03-02,2017,"P01","In-State","Lead","Enrolled","","","",11
2016-03-02,2017,"P01","In-State","Lead","Withdrawn (After Admitted)","","","",17
2016-03-02,2017,"P01","In-State","Lead","Withdrawn (Before Decision)","","","",1
2016-03-02,2017,"P01","Out-State","Inquiry","","","","",3
2016-03-02,2017,"P01","Out-State","Lead","","","","",2
2016-03-02,2017,"P02","In-State","Applicant","Confirmed","","","",1
2016-03-02,2017,"P02","In-State","Applicant","Denied","","","",5
2016-03-02,2017,"P02","In-State","Applicant","Enrolled","","","",28
2016-03-02,2017,"P02","In-State","Applicant","Withdrawn (After Admitted)","","","",40
2016-03-02,2017,"P02","In-State","Applicant","Withdrawn (Before Decision)","","","",10
2016-03-02,2017,"P02","In-State","Inquiry","","","","",83
2016-03-02,2017,"P02","In-State","Inquiry","Enrolled","","","",6
2016-03-02,2017,"P02","In-State","Inquiry","Withdrawn (After Admitted)","","","",7
2016-03-02,2017,"P02","In-State","Inquiry","Withdrawn (Before Decision)","","","",2
2016-03-02,2017,"P02","In-State","Lead","","","","",590
2016-03-02,2017,"P02","In-State","Lead","Confirmed","","","",1
2016-03-02,2017,"P02","In-State","Lead","Enrolled","","","",2
2016-03-02,2017,"P02","In-State","Lead","Incomplete","","","",1
2016-03-02,2017,"P02","In-State","Lead","Withdrawn (After Admitted)","","","",3
2016-03-02,2017,"P02","In-State","Lead","Withdrawn (Before Decision)","","","",2
2016-03-02,2017,"P02","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"P02","Out-State","Lead","","","","",2
2016-03-02,2017,"P03","Out-State","Applicant","Denied","","","",4
2016-03-02,2017,"P03","Out-State","Applicant","Enrolled","","","",4
2016-03-02,2017,"P03","Out-State","Applicant","Withdrawn (After Admitted)","","","",34
2016-03-02,2017,"P03","Out-State","Applicant","Withdrawn (Before Decision)","","","",10
2016-03-02,2017,"P03","Out-State","Inquiry","","","","",111
2016-03-02,2017,"P03","Out-State","Inquiry","Denied","","","",1
2016-03-02,2017,"P03","Out-State","Inquiry","Enrolled","","","",2
2016-03-02,2017,"P03","Out-State","Inquiry","Withdrawn (After Admitted)","","","",6
2016-03-02,2017,"P03","Out-State","Lead","","","","",2594
2016-03-02,2017,"P03","Out-State","Lead","Withdrawn (After Admitted)","","","",3
2016-03-02,2017,"PSRIG","In-State","Applicant","Confirmed","","","",1
2016-03-02,2017,"PSRIG","In-State","Applicant","Enrolled","","","",6
2016-03-02,2017,"PSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",3
2016-03-02,2017,"PSRIG","In-State","Inquiry","","","","",7
2016-03-02,2017,"PSRIG","In-State","Inquiry","Enrolled","","","",1
2016-03-02,2017,"PSRIG","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"PSRIG","In-State","Lead","","","","",40
2016-03-02,2017,"PSRIH","In-State","Applicant","Enrolled","","","",2
2016-03-02,2017,"PSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",4
2016-03-02,2017,"PSRIH","In-State","Inquiry","","","","",2
2016-03-02,2017,"PSRIH","In-State","Lead","","","","",27
2016-03-02,2017,"PSROG","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2017,"PSROG","Out-State","Lead","","","","",13
2016-03-02,2018,"","In-State","Inquiry","","","","",1
2016-03-02,2018,"","Out-State","Inquiry","","","","",2
2016-03-02,2018,"ESTD","In-State","Applicant","Enrolled","","","",1
2016-03-02,2018,"ESTD","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2018,"NDSRIG","In-State","Applicant","Enrolled","","","",1
2016-03-02,2018,"NSRIG","In-State","Applicant","Enrolled","","","",2
2016-03-02,2018,"NSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2018,"P01","In-State","Applicant","Confirmed","","","",7
2016-03-02,2018,"P01","In-State","Applicant","Denied","","","",6
2016-03-02,2018,"P01","In-State","Applicant","Enrolled","","","",39
2016-03-02,2018,"P01","In-State","Applicant","Withdrawn (After Admitted)","","","",19
2016-03-02,2018,"P01","In-State","Applicant","Withdrawn (After Confirmed)","","","",4
2016-03-02,2018,"P01","In-State","Applicant","Withdrawn (Before Decision)","","","",10
2016-03-02,2018,"P01","In-State","Inquiry","","","","",14
2016-03-02,2018,"P01","In-State","Inquiry","Enrolled","","","",3
2016-03-02,2018,"P01","In-State","Inquiry","Withdrawn (After Admitted)","","","",4
2016-03-02,2018,"P02","In-State","Applicant","Enrolled","","","",15
2016-03-02,2018,"P02","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2018,"P02","In-State","Applicant","Withdrawn (After Confirmed)","","","",2
2016-03-02,2018,"P02","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2016-03-02,2018,"P02","In-State","Inquiry","","","","",4
2016-03-02,2018,"P02","In-State","Inquiry","Denied","","","",1
2016-03-02,2018,"P02","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2018,"P02","Out-State","Applicant","Enrolled","","","",1
2016-03-02,2018,"P03","Out-State","Applicant","Enrolled","","","",1
2016-03-02,2018,"P03","Out-State","Applicant","Withdrawn (After Admitted)","","","",2
2016-03-02,2018,"P03","Out-State","Applicant","Withdrawn (Before Decision)","","","",2
2016-03-02,2018,"P03","Out-State","Inquiry","","","","",9
2016-03-02,2018,"PJRIH","In-State","Lead","","","","",1
2016-03-02,2018,"PJROH","Out-State","Lead","","","","",1
2016-03-02,2018,"PSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2018,"PSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2016-03-02,2018,"PSRIG","In-State","Lead","","","","",1
2016-03-02,2018,"PSRIH","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2019,"","In-State","Inquiry","","","","",1
2016-03-02,2019,"","Out-State","Inquiry","","","","",1
2016-03-02,2019,"ESTD","In-State","Applicant","Enrolled","","","",3
2016-03-02,2019,"NSRIG","In-State","Applicant","Enrolled","","","",1
2016-03-02,2019,"P01","In-State","Applicant","Confirmed","","","",3
2016-03-02,2019,"P01","In-State","Applicant","Denied","","","",3
2016-03-02,2019,"P01","In-State","Applicant","Enrolled","","","",29
2016-03-02,2019,"P01","In-State","Applicant","Incomplete","","","",1
2016-03-02,2019,"P01","In-State","Applicant","Withdrawn (After Admitted)","","","",8
2016-03-02,2019,"P01","In-State","Applicant","Withdrawn (After Confirmed)","","","",2
2016-03-02,2019,"P01","In-State","Applicant","Withdrawn (Before Decision)","","","",7
2016-03-02,2019,"P01","In-State","Inquiry","","","","",5
2016-03-02,2019,"P01","In-State","Inquiry","Enrolled","","","",1
2016-03-02,2019,"P01","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2019,"P01","In-State","Lead","","","","",2
2016-03-02,2019,"P02","In-State","Applicant","Confirmed","","","",3
2016-03-02,2019,"P02","In-State","Applicant","Denied","","","",1
2016-03-02,2019,"P02","In-State","Applicant","Enrolled","","","",5
2016-03-02,2019,"P02","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2019,"P02","In-State","Applicant","Withdrawn (Before Decision)","","","",2
2016-03-02,2019,"P02","In-State","Inquiry","","","","",4
2016-03-02,2019,"P02","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2019,"P02","In-State","Inquiry","Withdrawn (After Confirmed)","","","",1
2016-03-02,2019,"P03","Out-State","Applicant","Confirmed","","","",1
2016-03-02,2019,"P03","Out-State","Applicant","Enrolled","","","",1
2016-03-02,2019,"P03","Out-State","Inquiry","","","","",2
2016-03-02,2019,"P03","Out-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-03-02,2019,"PSRIH","In-State","Applicant","Enrolled","","","",1
2016-03-02,2020,"ESTD","In-State","Applicant","Enrolled","","","",1
2016-03-02,2020,"P01","In-State","Applicant","Admitted (Not Confirmed)","","","",4
2016-03-02,2020,"P01","In-State","Applicant","Confirmed","","","",1
2016-03-02,2020,"P01","In-State","Applicant","Denied","","","",5
2016-03-02,2020,"P01","In-State","Applicant","Enrolled","","","",13
2016-03-02,2020,"P01","In-State","Applicant","Hold (More Information Needed)","","","",1
2016-03-02,2020,"P01","In-State","Applicant","Incomplete","","","",2
2016-03-02,2020,"P01","In-State","Applicant","Withdrawn (After Admitted)","","","",5
2016-03-02,2020,"P01","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2020,"P01","In-State","Applicant","Withdrawn (Before Decision)","","","",3
2016-03-02,2020,"P01","In-State","Inquiry","","","","",7
2016-03-02,2020,"P01","In-State","Lead","","","","PSRIH-2020-02",1
2016-03-02,2020,"P02","In-State","Applicant","Denied","","","",1
2016-03-02,2020,"P02","In-State","Applicant","Enrolled","","","",5
2016-03-02,2020,"P02","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2020,"P02","In-State","Inquiry","","","","",3
2016-03-02,2020,"P03","Out-State","Applicant","Enrolled","","","",2
2016-03-02,2020,"P03","Out-State","Inquiry","","","","",3
2016-03-02,2020,"PSRIG","In-State","Applicant","Denied","","","",1
2016-03-02,2020,"PSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-03-02,2021,"P01","In-State","Applicant","Complete (No Decision)","","","",1
2016-03-02,2021,"P01","In-State","Applicant","Confirmed","","","",1
2016-03-02,2021,"P01","In-State","Applicant","Enrolled","","","",1
2016-03-02,2021,"P01","In-State","Applicant","Incomplete","","","",3
2016-03-02,2021,"P01","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-03-02,2021,"P01","In-State","Inquiry","","","","",1
2016-03-02,2021,"P02","In-State","Inquiry","","","","",1
2016-03-02,NA,"","Out-State","Inquiry","","","","",2
2016-06-21,0,"PSRIH","In-State","Inquiry","","","","",1
2016-06-21,2016,"","In-State","Applicant","Enrolled","","","",1
2016-06-21,2016,"","In-State","Inquiry","","","","",1
2016-06-21,2016,"","Out-State","Applicant","Enrolled","","","",1
2016-06-21,2016,"","Out-State","Inquiry","","","","",1
2016-06-21,2017,"","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2016-06-21,2017,"","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"","Out-State","Applicant","Withdrawn (Before Decision)","","","",2
2016-06-21,2017,"","Out-State","Inquiry","","","","",26
2016-06-21,2017,"NDSRIG","In-State","Applicant","Enrolled","","","",1
2016-06-21,2017,"NDSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"NDSRIG","In-State","Inquiry","","","","",6
2016-06-21,2017,"NDSRIH","In-State","Inquiry","","","","",1
2016-06-21,2017,"NDSRIH","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"NJRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"NJROH","Out-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"NSRIG","In-State","Applicant","Enrolled","","","",2
2016-06-21,2017,"NSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",3
2016-06-21,2017,"NSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2016-06-21,2017,"NSRIG","In-State","Inquiry","","","","",1
2016-06-21,2017,"NSRIG","In-State","Lead","Denied","","","",1
2016-06-21,2017,"NSRIH","In-State","Applicant","Enrolled","","","",2
2016-06-21,2017,"NSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",1
2016-06-21,2017,"NSRIH","In-State","Inquiry","","","","",1
2016-06-21,2017,"NSRIH","In-State","Inquiry","Enrolled","","","",1
2016-06-21,2017,"PSRIG","In-State","Applicant","","","","",1
2016-06-21,2017,"PSRIG","In-State","Applicant","Denied","","","",11
2016-06-21,2017,"PSRIG","In-State","Applicant","Enrolled","","","",30
2016-06-21,2017,"PSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",42
2016-06-21,2017,"PSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",13
2016-06-21,2017,"PSRIG","In-State","Inquiry","","","","",102
2016-06-21,2017,"PSRIG","In-State","Inquiry","Denied","","","",1
2016-06-21,2017,"PSRIG","In-State","Inquiry","Enrolled","","","",2
2016-06-21,2017,"PSRIG","In-State","Inquiry","Incomplete","","","",1
2016-06-21,2017,"PSRIG","In-State","Inquiry","Withdrawn (After Admitted)","","","",3
2016-06-21,2017,"PSRIG","In-State","Inquiry","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSRIG","In-State","Inquiry","Withdrawn (Before Decision)","","","",2
2016-06-21,2017,"PSRIG","In-State","Lead","","","","",978
2016-06-21,2017,"PSRIG","In-State","Lead","Enrolled","","","",2
2016-06-21,2017,"PSRIG","Out-State","Lead","","","","",1
2016-06-21,2017,"PSRIH","In-State","Applicant","Confirmed","","","",1
2016-06-21,2017,"PSRIH","In-State","Applicant","Denied","","","",1
2016-06-21,2017,"PSRIH","In-State","Applicant","Enrolled","","","",45
2016-06-21,2017,"PSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",63
2016-06-21,2017,"PSRIH","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSRIH","In-State","Applicant","Withdrawn (Before Decision)","","","",3
2016-06-21,2017,"PSRIH","In-State","Inquiry","","","","",86
2016-06-21,2017,"PSRIH","In-State","Inquiry","Enrolled","","","",1
2016-06-21,2017,"PSRIH","In-State","Inquiry","Withdrawn (After Admitted)","","","",6
2016-06-21,2017,"PSRIH","In-State","Inquiry","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSRIH","In-State","Lead","","","","",619
2016-06-21,2017,"PSRIH","In-State","Lead","Enrolled","","","",4
2016-06-21,2017,"PSRIH","In-State","Lead","Withdrawn (After Admitted)","","","",4
2016-06-21,2017,"PSRIH","In-State","Lead","Withdrawn (Before Decision)","","","",2
2016-06-21,2017,"PSRIH","Out-State","Inquiry","","","","",1
2016-06-21,2017,"PSRIH","Out-State","Lead","","","","",1
2016-06-21,2017,"PSROG","Out-State","Applicant","Denied","","","",1
2016-06-21,2017,"PSROG","Out-State","Applicant","Enrolled","","","",5
2016-06-21,2017,"PSROG","Out-State","Applicant","Withdrawn (After Admitted)","","","",7
2016-06-21,2017,"PSROG","Out-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSROG","Out-State","Applicant","Withdrawn (Before Decision)","","","",4
2016-06-21,2017,"PSROG","Out-State","Inquiry","","","","",48
2016-06-21,2017,"PSROG","Out-State","Inquiry","Withdrawn (Before Decision)","","","",1
2016-06-21,2017,"PSROG","Out-State","Lead","","","","",2585
2016-06-21,2017,"PSROG","Out-State","Lead","Withdrawn (Before Decision)","","","",1
2016-06-21,2017,"PSROH","Out-State","Applicant","Withdrawn (After Confirmed)","","","",1
2016-06-21,2017,"PSROH","Out-State","Lead","","","","",1
2016-06-21,2018,"","In-State","Applicant","Enrolled","","","",1
2016-06-21,2018,"","Out-State","Inquiry","","","","",18
2016-06-21,2018,"PSRIG","In-State","Applicant","Confirmed","","","",1
2016-06-21,2018,"PSRIG","In-State","Applicant","Denied","","","",1
2016-06-21,2018,"PSRIG","In-State","Applicant","Enrolled","","","",10
2016-06-21,2018,"PSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",3
2016-06-21,2018,"PSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",2
2016-06-21,2018,"PSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",6
2016-06-21,2018,"PSRIG","In-State","Inquiry","","","","",2
2016-06-21,2018,"PSRIG","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2016-06-21,2018,"PSRIG","In-State","Inquiry","Withdrawn (Before Decision)","","","",1
2016-06-21,2018,"PSRIG","In-State","Lead","","","","",1
2016-06-21,2018,"PSRIH","In-State","Applicant","Confirmed","","","",1
2016-06-21,2018,"PSRIH","In-State","Applicant","Enrolled","","","",12
